made_by,accepted,offer_count,factor
1,0,1,0.285195748
0,0,2,0.494845361
0,0,1,0.167958656
0,0,2,0.302089552
1,0,1,2.900840336
0,0,1,0.223286407
1,0,1,9.039179104
0,0,1,0.035364847
1,1,1,1.875
1,0,1,7.407407407
0,1,2,0.1991551
1,0,1,0.896470588
0,0,2,0.267152761
1,0,1,1.531133829
1,0,5,1.43030303
0,0,1,0.049255166
0,0,1,0.427913101
0,0,1,0.180013092
0,1,1,0.358153846
0,1,1,0.709677419
0,0,2,0.479687859
0,0,2,0.066747573
0,0,2,0.583512545
0,0,2,0.247524752
0,0,2,0.192628072
1,1,1,1.200720072
0,0,2,0.75226978
1,0,1,0.316395014
1,0,1,1.201430274
1,0,1,0.733333333
1,0,1,1
0,0,1,0.116476069
1,0,1,14.83180428
0,0,1,0.1
0,0,1,0.111695844
0,0,1,0.123672705
1,0,1,1
1,1,1,0.584045584
0,0,1,0.235891648
0,0,1,0.384764364
1,0,1,6.466666667
1,0,1,10.38374718
0,0,1,0.5136897
0,0,1,0.216626347
0,0,1,0.872564935
0,0,2,0.138434432
1,0,1,1.287644788
1,0,1,0.653023256
0,0,1,0.5
1,0,1,8.932926829
1,0,1,2.127346338
1,1,1,0.168603909
1,0,1,0.858974359
0,0,1,0.229545455
0,1,1,0.519607843
1,0,1,0.353510896
0,0,1,1.353104727
0,0,1,0.633922261
1,1,1,1.353104727
1,0,1,12.5
0,1,1,0.228203628
0,0,1,0
0,0,1,0.611111111
1,0,1,2.272727273
1,0,1,11.76470588
1,0,1,6.711864407
0,0,1,1.512524085
0,0,1,0.654320988
0,0,2,0.139610015
0,0,1,0.45
1,1,1,3.877906977
1,1,1,2.42
1,0,1,8.326180258
1,0,1,5.253333333
1,0,1,10
1,0,1,1.435334624
1,0,1,11.76470588
0,1,1,1.142857143
0,0,1,0.125
0,0,1,0.863599014
0,0,2,0.240384615
1,0,1,3.844672657
0,0,1,0.363095238
0,0,2,0.817651957
1,0,1,11.76470588
1,1,1,3.787878788
0,0,2,0.934587081
0,0,2,0.32
1,0,1,2.623188406
0,0,1,0.198555957
1,0,1,6.408730159
0,0,1,0.993305439
0,1,1,0.392282958
0,0,1,0.790877322
1,0,1,0.505784634
1,0,1,2.149253731
1,0,1,11.76470588
1,1,1,3.445283019
0,0,1,0.416458853
0,0,2,0.458059211
0,0,1,1.018257261
0,0,1,0.230465861
1,0,1,1.479166667
0,0,2,3.2
